fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,75.35008181818182,88.6866067105785
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),441.81232295081963,2502.9427498968507
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),453.3904590163934,2635.8833346683205
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100047,Aditya Birla Sun Life Liquid Fund - Growth,272.2572262295082,950.3888630058694
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,47.786368181818176,52.80367549080577
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100078,DSP Bond Fund - Growth,52.586620454545454,29.230527308899777
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100084,DSP Government Securities Fund - Regular Plan - Growth,55.04825909090909,64.29103481969008
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100087,DSP Savings Fund - Regular Plan - Growth,33.599920454545455,14.01394262117252
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100124,HDFC Income Fund-Growth,37.77300909090909,16.331943723553717
quant Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,100172,Quant Dynamic Bond-Growth,55.03279772727273,24.504514394767565
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100223,JM Income Fund - Growth Option,45.57654772727273,8.205453917949377
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100234,JM Liquid Fund - Growth Option,46.26852711864406,27.885539820620515
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100247,JM Liquid Fund-Super Institutional Plan- Growth,26.605384745762713,9.220234360614764
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100265,Kotak Gilt-Investment Regular-Growth,58.10515454545455,62.44999558611569
