fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,358.48386363636365,3044.7208555268594
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,668.0909090909091,7105.091644628102
quant Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100175,Quant Tax Plan-Growth,79.63834772727272,232.616527824313
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100177,Quant Small Cap Fund -Growth,46.33679545454546,26.166424194979342
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100219,JM Large Cap Fund-Growth,60.18366136363636,35.22859052146178
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100254,JM Value Fund - Growth Option,27.164538636363638,24.406562554643596
LIC Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100313,LIC MF Multicap Fund-Regular Plan-Growth,42.50454772727273,16.840859081131196
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100349,ICICI Prudential Large & Mid Cap Fund - Growth,281.2820454545454,1583.3534389979336
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100352,ICICI Prudential FMCG Fund - Growth,200.6170454545455,1202.0152435433886
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,319.78749999999997,1907.5275369318185
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100363,ICICI Prudential Technology Fund - Growth,48.30068181818182,89.02936089876033
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100375,Nippon India Growth Fund-Dividend Plan-(D),61.776420454545466,87.03964338799068
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100376,Nippon India Growth Fund-Growth Plan-Bonus Option,160.83255000000003,631.2530317997727
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100377,Nippon India Growth Fund-Growth Plan-Growth Option,966.4160795454544,22707.21242343799
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,81.49622727272728,110.43879186652893
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option,483.8946159090909,3892.586206526791
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100415,Tata Ethical Fund Regular Plan  - Growth,143.680825,235.70201203187506
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100471,Franklin India Bluechip Fund-Growth,405.6392363636365,2282.880174715042
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100473,Franklin India Prima Fund-Growth,824.8177795454544,17008.9713770539
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100475,Tata Large Cap Fund Regular Plan - Growth,188.22886590909093,593.1442814699742
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100476,Taurus Starshare (Multi Cap)Fund - Regular Plan - Growth Option,99.89477272727272,129.41023858471075
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100477,Taurus Discovery (Midcap) Fund - Regular Plan - Growth Option,37.75090909090909,40.409221900826445
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100480,Taurus Tax Shield- Regular Plan - Growth Option,66.015,120.66545681818184
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100496,Templeton India Value Fund - Growth Plan,220.0888954545454,1225.5743017658888
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100520,Franklin India Equity Fund - Growth,513.1733227272726,4275.264901394938
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100522,Franklin India Technology Fund-Growth,135.86475000000002,651.4682486934091
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100526,Franklin India Taxshield-Growth,488.5253659090908,3932.3242977704285
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100631,Quant Active Fund-GROWTH OPTION,156.39276363636364,731.5255812941322
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100651,UTI - Master Share-Growth Option,104.76477954545454,202.69067753753615
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100664,UTI - Core Equity Fund - Regular Plan - Growth Option,54.97937954545454,48.062971033445244
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100669,UTI - Equity Fund-Growth Option,120.85067045454547,333.7604977734452
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100740,UTI - MNC Fund - Regular Plan - Growth Option,173.07226136363636,472.31832522691656
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100795,Sundaram Small Cap Fund-Regular Growth,78.99565227272727,209.1604150170403
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100807,UTI Healthcare Fund - Regular Plan - Growth Option,89.90893863636363,77.65084607646179
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100821,UTI - Long Term Equity Fund (Tax Saving) - Regular Plan - Growth Option,76.2719909090909,101.78618655809919
LIC Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100865,LIC MF Tax Plan-Regular Plan-Growth,57.056513636363654,71.43588252072313
Principal Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100966,Principal Multi Cap Growth Fund- Half Yearly Dividend Option,36.50113636363636,17.313896435950415
Principal Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100967,Principal Multi Cap Growth Fund-Growth Option,120.3409090909091,474.05994917355366
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100998,HDFC  Long Term Advantage Fund - Growth Option,296.77040909090914,2704.7907989235537
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,101065,Quant Mid Cap Fund-Growth,50.764349999999986,29.065170390227276
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option,82.06378181818182,131.7674288023967
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101162,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,82.06378181818182,131.7674288023967
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,101209,Taurus Largecap Equity Fund- Regular Plan - Growth Option,67.0109090909091,40.173503719008266
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101228,ICICI Prudential Multicap Fund - Growth,245.4011363636364,1354.4766691632233
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101262,Nippon India Power & Infra Fund-Growth Plan -Growth Option,88.89903863636364,263.9386395319164
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101263,Nippon India Power & Infra Fund-Growth Plan-Bonus Option,88.89903863636364,263.9386395319164
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,101537,Sundaram Select Focus-Growth,149.87313636363635,579.2188728536778
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,101539,Sundaram Mid Cap Fund -Growth,416.1923590909091,4780.212505236509
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,101592,Aditya Birla Sun Life MIDCAP Fund-Growth,257.0911363636364,1632.9445146177684
HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,101594,HSBC Large Cap Equity Fund - Growth,179.11860227272726,748.3041998315857
DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,101635,DSP Top 100 Equity Fund - Regular Plan - Growth,180.31113636363636,535.5564696632231
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,101672,Tata Equity P/E Fund Regular Plan -(Growth Option),114.0402568181818,465.38151058836246
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Dividend Yield Fund,101738,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,151.45613636363635,292.603600981405
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101762,HDFC Equity Fund - Growth Option,548.8933863636364,7667.328880146178
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,101764,HDFC Capital Builder Value Fund - Growth Option,245.58075,1649.5830387329545
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101766,Tata Infrastructure Fund-Regular Plan- Growth,49.22709090909091,48.88325351309918
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth,176.60083636363635,592.6966870445868
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101862,Nippon India Banking Fund-Growth Plan-Growth Option,219.9273659090909,2170.0326689217927
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101863,Nippon India Banking Fund-Growth Plan-Bonus Option,219.9273659090909,2170.0326689217927
Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101922,Canara Robeco Equity Diversified Fund - Regular Plan - Growth,112.69409090909089,337.6351423553719
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,101979,HDFC TaxSaver-Growth Plan,450.9440227272728,4252.679892385847
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,102000,HDFC Top 100 Fund - Growth Option,403.74206818181824,4120.948515381715
Baroda Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,102020,BARODA MULTI CAP FUND - Plan A - Growth Option,87.54363636363635,110.58245041322313
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102142,Sundaram Rural and Consumption  Regular  Growth,35.43839772727273,45.90712697431301
HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,102252,HSBC Multi Cap Equity Fund - Growth,75.37706818181819,113.81912202262401
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,102326,Tata Mid Cap Growth Fund-Regular Plan - Dividend,37.32064772727272,17.98188531249484
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,102328,Tata Mid Cap Growth Fund Regular Plan- Growth,120.73620227272727,318.84528603567674
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,102394,UTI Mid Cap Fund-Growth Option,92.67695227272726,159.15659363158576
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102395,UTI Infrastructure Fund-Growth Option,47.244299999999996,42.19664658727274
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102398,UTI-Transpotation and Logistics  Fund-Growth Option,95.46469090909092,245.0408153926447
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102401,UTI Banking and Financial Services Fund - Regular Plan - Growth Option,80.13757272727274,249.08766712516527
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Contra Fund,102414,SBI CONTRA FUND - REGULAR PLAN -GROWTH,98.03529772727273,159.68350052885847
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102431,Nippon India Pharma Fund-Growth Plan-Growth Option,146.42584318181818,351.13830550927173
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102432,Nippon India Pharma Fund-Growth Plan-Bonus Option,146.42584318181818,351.13830550927173
DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102434,DSP India T.I.G.E.R. Fund - Regular Plan - Growth,80.10956818181819,156.8905081998967
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,102528,ICICI Prudential MidCap Fund - Growth,83.65227272727272,173.19600392561983
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,102594,ICICI Prudential Value Discovery Fund - Growth,129.6563636363636,199.33246404958675
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102751,Nippon India Consumption Fund-Growth Plan-Growth Option,60.60535909090909,40.53342275469008
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102752,Nippon India Consumption Fund-Growth Plan-Bonus Option,60.60535909090909,40.53342275469008
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,117.2103909090909,458.86524841355373
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,102760,HDFC Focused 30 Fund - GROWTH,68.51079545454546,93.23958657179755
Principal Mutual Fund,Open Ended Schemes,Equity Scheme - Dividend Yield Fund,102807,Principal Dividend Yield Fund-Growth Plan,44.82272727272727,67.13906074380166
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,102823,SBI HEALTHCARE OPPORTUNITIES FUND - REGULAR PLAN -GROWTH,131.0118318181818,168.73020162853308
Kotak Mahindra Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,102875,Kotak-Small Cap Fund - Growth,64.71479545454547,114.49302984452476
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,102883,Franklin India Equity Advantage Fund - Growth Plan,69.69654318181819,74.3002545542717
Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,102920,Canara Robeco Emerging Equities - Regular Plan - GROWTH,78.78272727272727,232.4132243801653
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,102941,SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH,68.12952727272726,75.93403498834711
HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,103006,HSBC Small Cap Equity Fund - Growth,45.575481818181814,72.8282712464876
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,188.241125,789.3021599268751
