fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100081,DSP Equity & Bond Fund- Regular Plan - Growth,132.88925,367.12003268750004
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100119,HDFC Balance Advantage Fund - Growth Option,163.1124772727273,709.6239442040289
Principal Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100153,Principal Nifty 100 Equal Weight Fund-Growth,63.60908863636362,55.27710545964358
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100221,JM Equity Hybrid Fund-Growth,40.80074772727273,16.064563165676653
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100323,LIC MF Equity Hybrid Fund-Regular Plan-Growth,91.82745227272727,82.63369387294937
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100356,ICICI Prudential Equity & Debt Fund - Growth,114.04227272727272,293.0878539256198
Tata Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100414,Tata Hybrid Equity Fund Regular Plan - Growth,190.03996818181815,361.71028164262384
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100484,Franklin India Index Fund- Nifty Plan - Growth,76.31177272727273,124.08381688016526
Franklin Templeton Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,100536,Franklin India Pension Plan-Growth,115.0737568181818,150.06230910245353
Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100550,Franklin India Equity Hybrid Fund - Growth Plan,105.62755681818179,144.1381756833626
Canara Robeco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100601,Canara Robeco Conservative Hybrid Fund - Regular Plan - Growth,51.88146590909093,32.8899934572469
Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Balanced Hybrid Fund,100617,Sundaram Equity Hybrid Fund Regular Growth,77.56610227272728,124.23565485749482
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100684,UTI - Hybrid Equity Fund - Regular Plan - Growth,149.09661136363636,343.50783539418904
UTI Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100822,UTI - NIFTY Index Fund- Regular Plan - Growth Option,62.08202727272728,97.01902906880167
Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100948,Franklin India Debt Hybrid Fund - Growth,50.87772954545455,25.582874806627057
SBI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100968,SBI DEBT HYBRID FUND - REGULAR PLAN - GROWTH,36.229988636363636,14.741465781916325
quant Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,101070,Quant Absolute Fund-Growth Option,120.0180840909091,252.35275266815594
quant Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,101072,Quant Multi Asset Fund-GROWTH OPTION,34.04459545454545,13.523767774070246
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,101144,ICICI Prudential Multi-Asset Fund - Growth,228.4712590909091,1238.6989697724173
SBI Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,101169,SBI Magnum Children's Benefit Fund - Savings Plan - REGULAR PLAN - GROWTH,48.383961363636374,63.974432478279944
LIC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101199,LIC MF Index Fund-Sensex Plan-Regular Plan-Growth,59.31377727272727,79.34343958766532
LIC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101201,LIC MF Index Fund-Nifty Plan-Regular Plan-Growth,53.28117045454546,58.13240828435433
Principal Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,101265,Principal Hybrid Equity Fund-Growth,64.76772727272727,125.85775847107438
LIC Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,101271,LIC MF Children's Gift Fund-Regular Plan-Growth,16.03205,1.669046304318182
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101314,Aditya Birla Sun Life Index Fund - Growth - Regular Plan,94.62277045454545,190.32978995117247
Tata Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,101491,Tata Young Citizen -Regular Plan-Growth,23.457411363636364,5.139058592370868
Principal Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,101498,Principal Equity Savings Fund - Growth Option,32.6625340909091,10.511597833610535
HDFC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101525,HDFC Index Fund-Nifty 50 Plan-Growth Plan,86.583225,185.224246951875
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,101585,HDFC Equity Savings Fund -GROWTH,32.15866136363636,17.508561953734507
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,101656,Franklin India Dynamic Asset Allocation Fund of Funds-Growth,72.01791363636363,73.25571329890494
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,101818,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,35.383659090909084,16.414132303326443
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,101869,LIC MF Debt Hybrid Fund-Regular Plan-Growth,50.4939340909091,24.390320761337815
Tata Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,101906,Tata Equity Savings Fund -Regular Plan-Growth,30.079888636363634,6.030130660552685
Baroda Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option,49.54022727272727,33.515184039256205
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,102133,ICICI Prudential Passive Strategy Fund (FOF) - Growth,56.328604545454546,57.716376764979344
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,102135,ICICI Prudential Thematic Advantage Fund (FOF) - Growth,62.68388863636365,68.31780347691632
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,102137,ICICI Prudential Asset Allocator Fund (FOF) - Growth,47.33718181818181,52.190348181487614
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,102139,ICICI Prudential Income Optimizer Fund (FOF) - Growth,31.085697727272727,10.366738130676652
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,102141,ICICI Prudential Debt Management Fund (FOF) - Growth,26.615679545454544,12.216545872536157
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,102147,HDFC Hybrid Debt Fund - Growth Plan,41.362545454545455,20.012171184297518
Nippon India Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,102172,Nippon India Hybrid Bond Fund-Growth Plan,38.49583409090909,13.19159284542872
HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,102262,HSBC Regular Savings Fund - Growth,33.80520227272728,11.084655284767564
