fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,358.4838636,3044.720856
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,75.35008182,88.68660671
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),441.812323,2502.94275
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),453.390459,2635.883335
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100047,Aditya Birla Sun Life Liquid Fund - Growth,272.2572262,950.388863
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,47.78636818,52.80367549
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,668.0909091,7105.091645
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100078,DSP Bond Fund - Growth,52.58662045,29.23052731
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100081,DSP Equity & Bond Fund- Regular Plan - Growth,132.88925,367.1200327
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100084,DSP Government Securities Fund - Regular Plan - Growth,55.04825909,64.29103482
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100087,DSP Savings Fund - Regular Plan - Growth,33.59992045,14.01394262
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100119,HDFC Balance Advantage Fund - Growth Option,163.1124773,709.6239442
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100124,HDFC Income Fund-Growth,37.77300909,16.33194372
Principal Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100153,Principal Nifty 100 Equal Weight Fund-Growth,63.60908864,55.27710546
quant Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,100172,Quant Dynamic Bond-Growth,55.03279773,24.50451439
quant Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100175,Quant Tax Plan-Growth,79.63834773,232.6165278
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100177,Quant Small Cap Fund -Growth,46.33679545,26.16642419
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100219,JM Large Cap Fund-Growth,60.18366136,35.22859052
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100221,JM Equity Hybrid Fund-Growth,40.80074773,16.06456317
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100223,JM Income Fund - Growth Option,45.57654773,8.205453918
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100234,JM Liquid Fund - Growth Option,46.26852712,27.88553982
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100247,JM Liquid Fund-Super Institutional Plan- Growth,26.60538475,9.220234361
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100254,JM Value Fund - Growth Option,27.16453864,24.40656255
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100265,Kotak Gilt-Investment Regular-Growth,58.10515455,62.44999559
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,59.43735909,65.53217494
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100299,Kotak Bond Regular Plan Growth,47.394225,32.05073027
LIC Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100313,LIC MF Multicap Fund-Regular Plan-Growth,42.50454773,16.84085908
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100315,LIC MF Bond Fund-Regular Plan-Growth,45.68215227,27.0953487
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100317,LIC MF Government Securities Fund-Regular Plan-Growth,37.03252727,23.92316871
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100319,LIC MF Government Securities Fund-PF Plan-Growth,21.38047727,8.038947469
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100323,LIC MF Equity Hybrid Fund-Regular Plan-Growth,91.82745227,82.63369387
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100349,ICICI Prudential Large & Mid Cap Fund - Growth,281.2820455,1583.353439
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100352,ICICI Prudential FMCG Fund - Growth,200.6170455,1202.015244
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,319.7875,1907.527537
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100356,ICICI Prudential Equity & Debt Fund - Growth,114.0422727,293.0878539
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100363,ICICI Prudential Technology Fund - Growth,48.30068182,89.0293609
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,100365,ICICI Prudential Long Term Bond Fund - Growth,54.18058636,63.88510885
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100369,ICICI Prudential Gilt Fund - Growth,58.61987955,73.35677651
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100375,Nippon India Growth Fund-Dividend Plan-(D),61.77642045,87.03964339
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100376,Nippon India Growth Fund-Growth Plan-Bonus Option,160.83255,631.2530318
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100377,Nippon India Growth Fund-Growth Plan-Growth Option,966.4160795,22707.21242
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,81.49622727,110.4387919
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option,483.8946159,3892.586207
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100387,Nippon India Income Fund - Growth Plan Growth Option,54.91595682,52.65595332
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100388,Nippon India Income Fund - Growth Plan Bonus Option,15.79528182,4.313116735
Tata Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100414,Tata Hybrid Equity Fund Regular Plan - Growth,190.0399682,361.7102816
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100415,Tata Ethical Fund Regular Plan  - Growth,143.680825,235.702012
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100418,Tata Income Fund -Regular Plan  - Growth,51.44192045,33.24129055
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100471,Franklin India Bluechip Fund-Growth,405.6392364,2282.880175
